Course / Learning material,Source,Course Level,Type (Free or Paid),Module,Duration,"Module / Sub-module 
Difficulty level",Keywords / Tags / Skills / Interests / Categories,Links
Fast.ai,Fast.ai,Intermediate to Advanced,Free,13: Backpropagation & MLP: Lesson Resources,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson13.html#lesson-resources
Fast.ai,Fast.ai,Intermediate to Advanced,Free,14: Backpropagation,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson14.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,14: Backpropagation: Concepts Used,3 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson14.html#concepts-discussed
Fast.ai,Fast.ai,Intermediate to Advanced,Free,14: Backpropagation: Video 14 : Deep Learning Foundations to Stable Diffusion,110 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson14.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,15: Autoencoders,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson15.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,15: Autoencoders: Concepts Used,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson15.html#concepts-discussed
Fast.ai,Fast.ai,Intermediate to Advanced,Free,15: Autoencoders: Video 15 : Deep Learning Foundations to Stable Diffusion,100 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson15.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,15: Autoencoders: Lesson Resources,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson15.html#lesson-resources
Fast.ai,Fast.ai,Intermediate to Advanced,Free,16: The Learner framework,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson16.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,16: The Learner framework: Concepts Used,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson16.html#concepts-discussed
Fast.ai,Fast.ai,Intermediate to Advanced,Free,16: The Learner framework: Video 16 : Deep Learning Foundations to Stable Diffusion,90 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson16.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,16: The Learner framework: Lesson Resources,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson16.html#lesson-resources
Fast.ai,Fast.ai,Intermediate to Advanced,Free,17: Initialization/normalization,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson17.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,17: Initialization/normalization: Concepts Used,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson17.html#concepts-discussed
Fast.ai,Fast.ai,Intermediate to Advanced,Free,17: Initialization/normalization: : Video 17 : Deep Learning Foundations to Stable Diffusion,120 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson17.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,17: Initialization/normalization: Papers from the lesson,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson17.html#papers-from-the-lesson
Fast.ai,Fast.ai,Intermediate to Advanced,Free,18: Accelerated SGD & ResNets,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson18.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,18: Accelerated SGD & ResNets: Concepts Used,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson18.html#concepts-discussed
Fast.ai,Fast.ai,Intermediate to Advanced,Free,18: Accelerated SGD & ResNets: Video 18 : Deep Learning Foundations to Stable Diffusion,130 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson18.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,18: Accelerated SGD & ResNets: Video 18 : Lesson Resources,2 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson18.html#lesson-resources
Fast.ai,Fast.ai,Intermediate to Advanced,Free,19: DDPM and Dropout,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson19.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,19: DDPM and Dropout: Concept Useds,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson19.html#concepts-discussed
Fast.ai,Fast.ai,Intermediate to Advanced,Free,19: DDPM and Dropout:  Video 19: Deep Learning Foundations to Stable Diffusion,90 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson19.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,20: Mixed Precision,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson20.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,20: Mixed Precision: Concepts Used,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson20.html#concepts-discussed
Fast.ai,Fast.ai,Intermediate to Advanced,Free,20: Mixed Precision: Video 20: Deep Learning Foundations to Stable Diffusion,110 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson20.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,21: DDIM,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson21.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,21: DDIM: Concepts Used,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson21.html#concepts-discussed
Fast.ai,Fast.ai,Intermediate to Advanced,Free,21: DDIM: Video 21: Deep Learning Foundations to Stable Diffusion,120 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson21.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,22: Karras et al (2022),2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson22.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,22: Karras et al (2022): Concepts Used,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson22.html#concepts-discussed
Fast.ai,Fast.ai,Intermediate to Advanced,Free,22: Karras et al (2022): Video 22: Deep Learning Foundations to Stable Diffusion,90 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson22.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,23: Super-resolution,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson23.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,23: Super-resolution: Concepts Used,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson23.html#concepts-discussed
Fast.ai,Fast.ai,Intermediate to Advanced,Free,23: Super-resolution: Video 23: Deep Learning Foundations to Stable Diffusion,100 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson23.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,23: Super-resolution: Lesson Resources,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson23.html#lesson-resources
Fast.ai,Fast.ai,Intermediate to Advanced,Free,24: Attention & transformers,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson24.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,24: Attention & transformers: Concepts  Used,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson24.html#concepts-discussed
Fast.ai,Fast.ai,Intermediate to Advanced,Free,24: Attention & transformers:  Video 24: Deep Learning Foundations to Stable Diffusion,120 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson24.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,25: Latent diffusion,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson25.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,25: Latent diffusion :  Video 25: Deep Learning Foundations to Stable Diffusion,100 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson25.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,25: Latent diffusion : Lesson Resources,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson25.html#lesson-resources
Fast.ai,Fast.ai,Intermediate to Advanced,Free,Bonus: Lesson 9a,42 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://youtu.be/0_BBRNYInx8
Fast.ai,Fast.ai,Intermediate to Advanced,Free,Bonus: Lesson 9b,52 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://www.youtube.com/watch?v=mYpjmM7O-30
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Introduction to Generative AI,45 minutes,Easy to Medium,"Generative AI, Deep Learning, Artificial Intelligence, AI, Image Generation, Text Generation",https://www.cloudskillsboost.google/course_templates/536
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Introduction to Generative AI: Video,22 minutes,Easy to Medium,"Generative AI, Deep Learning, Artificial Intelligence, AI, Image Generation, Text Generation",https://www.cloudskillsboost.google/course_sessions/4411756/video/384243
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Introduction to Generative AI: Reading,13 minutes,Easy to Medium,"Generative AI, Deep Learning, Artificial Intelligence, AI, Image Generation, Text Generation",https://www.cloudskillsboost.google/course_sessions/4411756/documents/384244
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Introduction to Generative AI: Quiz,10 minutes,Easy to Medium,"Generative AI, Deep Learning, Artificial Intelligence, AI, Image Generation, Text Generation",https://www.cloudskillsboost.google/course_sessions/4411756/quizzes/384245
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Introduction to Large Language Models,45 minutes,Easy to Medium,"Generative AI, Deep Learning, Artificial Intelligence, AI, Image Generation, Text Generation",https://www.cloudskillsboost.google/course_templates/539
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Introduction to Large Language Models: Video,15 minutes,Easy to Medium,"Generative AI, Deep Learning, Artificial Intelligence, AI, Text Generation, Natural Language Processing, NLP",https://www.cloudskillsboost.google/course_sessions/4412462/video/379143
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Introduction to Large Language Models: Reading,20 minutes,Easy to Medium,"Generative AI, Deep Learning, Artificial Intelligence, AI, Text Generation, Natural Language Processing, NLP",https://www.cloudskillsboost.google/course_sessions/4412462/documents/379144
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Introduction to Large Language Models: Quiz,10 minutes,Easy to Medium,"Generative AI, Deep Learning, Artificial Intelligence, AI, Text Generation, Natural Language Processing, NLP",https://www.cloudskillsboost.google/course_sessions/4412462/quizzes/379145
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Introduction to Responsibe AI,20 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency",https://www.cloudskillsboost.google/course_templates/554
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Introduction to Responsibe AI:Video,10 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency",https://www.cloudskillsboost.google/course_sessions/4412757/video/386919
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Introduction to Responsibe AI,10 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency",https://www.cloudskillsboost.google/course_sessions/4412757/quizzes/386920
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Generative AI Fundamentals,120 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency",https://www.cloudskillsboost.google/course_templates/556
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Generative AI Fundamentals: Introduction to Generative AI Course,45 minutes,Easy to Medium,"Generative AI, Deep Learning, Artificial Intelligence, AI, Image Generation, Text Generation",https://www.cloudskillsboost.google/course_templates/536
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Generative AI Fundamentals: Introduction to Large Language Models Course,45 minutes,Easy to Medium,"Generative AI, Deep Learning, Artificial Intelligence, AI, Text Generation, Natural Language Processing, NLP",https://www.cloudskillsboost.google/course_templates/539
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Generative AI Fundamentals: Introduction to Responsibe AI Course,20 minutes,Easy to Medium,"Generative AI, Deep Learning, Artificial Intelligence, AI, Image Generation, Text Generation, Natural Language Processing, NLP",https://www.cloudskillsboost.google/course_templates/554
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Generative AI Fundamentals: Quiz,10 minutes,Easy to Medium,"Generative AI, Deep Learning, Artificial Intelligence, AI, Image Generation, Text Generation, Natural Language Processing, NLP",https://www.cloudskillsboost.google/course_sessions/4412954/quizzes/381263
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud,128 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency",https://www.cloudskillsboost.google/course_templates/388
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-Introduction,16 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency",https://www.cloudskillsboost.google/course_sessions/4597819/video/387435
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-Introduction- Course Introduction,7 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency",https://www.cloudskillsboost.google/course_sessions/4597819/video/387435
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-Introduction- Google and Responsible AI,5 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency",https://www.cloudskillsboost.google/course_sessions/4597819/video/387436
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-Introduction- An Introduction to Google AI Principles,4 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency, AI Principles",https://www.cloudskillsboost.google/course_sessions/4597819/video/387437
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-The Business case for Responsible AI,16 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency, Business Case",https://www.cloudskillsboost.google/course_sessions/4597819/video/387438
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-The Business case for Responsible AI- The Economic Intelligence Report,3 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency, Business Case",https://www.cloudskillsboost.google/course_sessions/4597819/video/387438
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-The Business case for Responsible AI- The Business Case for Responsible Innovation,13 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency, Business Case, Responsible Innovation",https://www.cloudskillsboost.google/course_sessions/4597819/video/387439
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-AI's Technical Considerations and Ethical Concerns,16 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency, Business Case, Responsible Innovation, Ethics Concerns",https://www.cloudskillsboost.google/course_sessions/4597819/video/387439
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-AI's Technical Considerations and Ethical Concerns-Video,6 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency, Business Case, Responsible Innovation, Ethics Concerns",https://www.cloudskillsboost.google/course_sessions/4597819/video/387439
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-AI's Technical Considerations and Ethical Concerns- Concerns about Artificial Intelligence,10 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency, Business Case, Responsible Innovation, Ethics Concerns",https://www.cloudskillsboost.google/course_sessions/4597819/video/387441
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-Creating AI Principles,23 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency, Business Case, Responsible Innovation, Ethics Concerns",https://www.cloudskillsboost.google/course_sessions/4597819/video/387442
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-How Google AI Principles were developed,9 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency, Business Case, Responsible Innovation, Ethics Concerns",https://www.cloudskillsboost.google/course_sessions/4597819/video/387442
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-Ethical Issues Spotting,4 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency, Business Case, Responsible Innovation, Ethics Concerns",https://www.cloudskillsboost.google/course_sessions/4597819/video/387443
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-The Ethical Aims of Google's AI Principle,10 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency, Business Case, Responsible Innovation, Ethics Concerns, Review Process",https://www.cloudskillsboost.google/course_sessions/4597819/video/387444
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-Operationalizing AI Principles: Setting Up and Running Reviews,22 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency, Business Case, Responsible Innovation, Ethics Concerns, Review Process",https://www.cloudskillsboost.google/course_sessions/4597819/video/387445
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-Operationalizing AI Principles: Setting Up and Running Reviews-Google's AI Governance,5 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency, Business Case, Responsible Innovation, Ethics Concerns, Review Process",https://www.cloudskillsboost.google/course_sessions/4597819/video/387445
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-Operationalizing AI Principles: Setting Up and Running Reviews-Google Cloud Review Process,9 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency, Business Case, Responsible Innovation, Ethics Concerns, Review Process",https://www.cloudskillsboost.google/course_sessions/4597819/video/387446
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-Operationalizing AI Principles: Setting Up and Running Reviews-Celebrity Recoginition Case Study,8 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency, Business Case, Responsible Innovation, Ethics Concerns, Review Process",https://www.cloudskillsboost.google/course_sessions/4597819/video/387447
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-Issue Spotting and Lessons Learned,18 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency, Business Case, Responsible Innovation, Ethics Concerns, Review Process",https://www.cloudskillsboost.google/course_sessions/4597819/video/387448
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-Issue Spotting and Lessons Learned: Issue Spotting Process,7 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency, Business Case, Responsible Innovation, Ethics Concerns, Review Process",https://www.cloudskillsboost.google/course_sessions/4597819/video/387448
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-Issue Spotting and Lessons Learned: What we've learned from operationalizing AI Principles-Challenges,4 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency, Business Case, Responsible Innovation, Ethics Concerns, Review Process",https://www.cloudskillsboost.google/course_sessions/4597819/video/387449
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-Issue Spotting and Lessons Learned: What we've learned from operationalizing AI Principles-Best Practices,7 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency, Business Case, Responsible Innovation, Ethics Concerns, Review Process, Best Practices",https://www.cloudskillsboost.google/course_sessions/4597819/video/387450
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-Continuing Journey Towards Responsible,17 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency, Business Case, Responsible Innovation, Ethics Concerns, Review Process, Best Practices",https://www.cloudskillsboost.google/course_sessions/4597819/video/387451
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-Continuing Journey Towards Responsible AI-Video,2 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency, Business Case, Responsible Innovation, Ethics Concerns, Review Process, Best Practices",https://www.cloudskillsboost.google/course_sessions/4597819/video/387451
Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-Continuing Journey Towards Responsible AI- Resource Links,15 minutes,Easy to Medium,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency, Business Case, Responsible Innovation, Ethics Concerns, Review Process, Best Practices",https://www.cloudskillsboost.google/course_sessions/4597819/documents/387452
Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Introduction to Image Generation,15 minutes,Medium to Hard,"Image Generation, GAN, Generative Adversarial Networks, Deep Learning, Neural Network, Image Synthesis, Computer Vision",https://www.cloudskillsboost.google/course_templates/541
Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Introduction to Image Generation-Video,10 minutes,Medium to Hard,"Image Generation, GAN, Generative Adversarial Networks, Deep Learning, Neural Network, Image Synthesis, Computer Vision",https://www.cloudskillsboost.google/course_sessions/4413198/video/383842
Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Introduction to Image Generation-Quiz,5 minutes,Medium to Hard,"Image Generation, GAN, Generative Adversarial Networks, Deep Learning, Neural Network, Image Synthesis, Computer Vision",https://www.cloudskillsboost.google/course_sessions/4413198/quizzes/383843
Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Attention Mechanism,10 minutes,Medium to Hard,"Attention Mechanism, Neural Networks, Transformer Architecture, Attention Scores, Attention Weights, NLP",https://www.cloudskillsboost.google/course_templates/537
Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Attention Mechanism-Overview,5 minutes,Medium to Hard,"Attention Mechanism, Neural Networks, Transformer Architecture, Attention Scores, Attention Weights, NLP",https://www.cloudskillsboost.google/course_sessions/4414897/video/383836
Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Attention Mechanism-Quiz,5 minutes,Medium to Hard,"Attention Mechanism, Neural Networks, Transformer Architecture, Attention Scores, Attention Weights, NLP",https://www.cloudskillsboost.google/course_sessions/4414897/quizzes/383837
Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Encoder-Decoder Architecture,42 minutes,Medium to Hard,"Encode-Decoder, Sequence-to-Sequence, Deep Learning, Neural Network",https://www.cloudskillsboost.google/course_templates/543
Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Encoder-Decoder Architecture: Overview,7 minutes,Medium to Hard,"Encode-Decoder, Sequence-to-Sequence, Deep Learning, Neural Network",https://www.cloudskillsboost.google/course_sessions/4413462/video/383848
Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Encoder-Decoder Architecture: Lab Walkthrough,20 minutes,Medium to Hard,"Encode-Decoder, Sequence-to-Sequence, Deep Learning, Neural Network",https://www.cloudskillsboost.google/course_sessions/4413462/video/383849
Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Encoder-Decoder Architecture: Quiz,10 minutes,Medium to Hard,"Encode-Decoder, Sequence-to-Sequence, Deep Learning, Neural Network",https://www.cloudskillsboost.google/course_sessions/4413462/quizzes/383850
Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Encoder-Decoder Architecture: Lab Resources,5 minutes,Medium to Hard,"Encode-Decoder, Sequence-to-Sequence, Deep Learning, Neural Network",https://www.cloudskillsboost.google/course_sessions/4413462/documents/383851
